mgra,TAZ,hh,pop,emp_self,emp_ag,emp_const_non_bldg_prod,emp_const_non_bldg_office,emp_utilities_prod,emp_utilities_office,emp_const_bldg_prod,emp_const_bldg_office,emp_mfg_prod,emp_mfg_office,emp_whsle_whs,emp_trans,emp_retail,emp_prof_bus_svcs,emp_prof_bus_svcs_bldg_maint,emp_pvt_ed_k12,emp_pvt_ed_post_k12_oth,emp_health,emp_personal_svcs_office,emp_amusement,emp_hotel,emp_restaurant_bar,emp_personal_svcs_retail,emp_religious,emp_pvt_hh,emp_state_local_gov_ent,emp_scrap_other,emp_fed_non_mil,emp_fed_mil,emp_state_local_gov_blue,emp_state_local_gov_white,emp_public_ed,emp_own_occ_dwell_mgmt,emp_fed_gov_accts,emp_st_lcl_gov_accts,emp_cap_accts,emp_total,collegeEnroll,otherCollegeEnroll,AdultSchEnrl,EnrollGradeKto8,EnrollGrade9to12,PrivateEnrollGradeKto8,ech_dist,hch_dist,parkarea,hstallsoth,hstallssam,hparkcost,numfreehrs,dstallsoth,dstallssam,dparkcost,mstallsoth,mstallssam,mparkcost,TotInt,DUDen,EmpDen,PopDen,RetEmpDen,IntDenBin,EmpDenBin,DuDenBin,POINT_X,POINT_Y,ACRES,HotelRoomTotal,mall_flag,beachAcres
5457,2625,94,218,0,0,3,0,0,0,0,0,0,0,2,0,7,260,0,0,8,72,42,12,0,81,0,0,0,31,0,0,0,0,0,0,0,0,0,0,518,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,4,22,9,2,1,2,1,926414,611817,64,0,0,0
5458,2548,0,0,0,0,75,0,0,0,0,0,53,0,86,33,71,47,0,0,0,0,42,0,30,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,1,2,1,930436,625012,77,0,0,0
5459,2533,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1,929087,633828,51,0,0,0
5460,1910,104,227,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,4,1,8,0,1,1,1,954933,714356,26,0,0,0
5461,2544,0,0,0,0,0,0,0,0,0,0,130,0,40,1590,277,719,0,0,1,0,276,4,0,18,0,0,0,292,0,0,0,0,0,0,0,0,0,0,3346,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1,934706,633302,1035,0,0,0
5462,2529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,941015,631752,151,0,0,0
5463,2540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,2,4,4,0,1,1,1,930771,635887,14,0,0,0
5464,2560,318,752,0,0,1,0,0,0,0,0,0,0,0,0,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,4,1,10,1,1,1,1,921958,627593,88,0,0,0
5465,2640,286,754,0,0,28,0,0,0,0,0,40,0,30,93,73,72,0,0,0,0,94,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,4,7,11,1,1,1,1,917940,605431,83,0,0,0
5466,2638,168,435,0,0,0,0,0,0,0,0,9,0,49,0,316,580,0,0,4,30,49,1,0,69,0,0,0,33,0,0,0,0,0,5,0,0,0,0,1145,230,0,0,0,20,8,2,2,4,0,0,0,0,0,0,0,0,0,0,0,3,6,9,1,1,1,1,915804,608801,82,0,0,0
