MAZ2010,TOTAL_HOUSEHOLDS,TOTAL_GQ
528,54,0
529,151,0
530,107,0
531,175,0
532,92,0
533,211,0
534,312,0
535,250,0
536,334,0
537,150,29
538,212,6
539,111,0
540,17,0
541,111,0
542,0,0
543,295,0
544,83,0
545,716,0
546,147,0
547,103,0
548,777,198
549,149,0
550,153,4
551,157,0
552,96,0
553,88,7
554,106,0
555,219,4
556,207,0
557,190,0
558,257,0
559,167,4
560,161,3
561,340,0
562,220,3
563,219,7
564,191,0
565,106,0
566,151,6
567,139,0
568,119,0
569,131,0
570,203,0
571,104,8
572,97,0
573,79,0
574,232,0
575,167,6
576,344,0
577,230,0
578,144,0
579,102,0
580,119,0
581,212,0
582,137,0
583,154,6
584,171,0
585,173,0
586,142,0
587,121,0
588,24,0
589,126,0
590,142,8
591,138,0
592,58,0
593,124,0
594,159,0
595,164,0
596,93,0
597,206,7
598,109,0
599,153,0
600,57,0
601,125,0
602,154,738
603,13,6
604,27,6
605,335,0
606,0,0
607,0,0
608,0,0
609,0,0
610,0,0
611,0,0
612,456,0
613,212,0
614,150,0
615,622,0
616,206,0
617,533,0
618,121,0
619,310,0
620,167,0
621,92,0
622,237,0
623,207,0
624,348,0
625,247,0
626,117,0
627,124,0
628,298,0
629,460,0
630,290,0
631,152,0
632,186,0
633,229,0
634,0,0
635,53,0
636,0,0
637,0,0
638,0,0
639,0,0
640,0,0
641,1,0
642,0,0
643,0,254
644,0,0
645,123,0
646,68,3
647,157,0
648,136,0
649,133,0
650,154,8
651,144,2
652,79,0
653,72,0
654,172,0
655,153,0
656,98,0
657,163,0
658,121,8
659,114,0
660,98,0
661,136,0
662,61,0
663,0,2
664,0,0
665,0,0
666,0,0
667,1124,0
668,8,0
669,0,0
670,425,106
671,0,0
672,0,0
673,121,0
674,155,0
675,249,27
676,161,0
677,92,0
678,109,0
679,134,6
680,17,6
681,134,0
682,91,6
683,150,0
684,148,0
685,82,0
686,165,72
687,24,0
688,118,0
689,315,0
690,174,0
691,85,0
692,0,0
693,125,0
694,175,0
695,97,0
696,230,0
697,115,0
698,110,0
699,98,0
700,112,0
701,91,0
702,437,0
703,13,0
704,0,0
705,5,0
706,338,0
707,221,0
708,164,0
709,226,0
710,109,0
711,76,0
712,417,0
713,396,0
714,0,0
715,0,0
716,0,0
717,0,176
718,244,0
719,183,0
720,8,0
721,219,0
722,255,0
723,119,0
724,530,0
725,724,0
726,0,0
727,138,0
728,0,0
729,360,0
730,262,0
731,219,0
732,237,0
733,96,0
734,258,0
735,328,0
736,150,0
737,346,0
738,78,0
739,501,0
740,465,0
741,0,0
742,449,0
743,244,0
744,408,0
745,141,0
746,89,0
747,297,11
748,212,0
749,105,13
750,591,0
751,219,0
752,0,4
753,55,254
754,108,466
755,0,0
756,153,143
757,424,39
758,367,0
759,0,0
760,0,0
761,0,0
762,581,0
763,321,0
764,252,0
765,191,0
766,159,0
767,70,0
768,272,0
769,452,0
770,897,171
771,194,0
772,285,6
773,167,0
774,272,0
775,160,0
776,161,0
777,56,0
778,101,4
779,161,0
780,116,0
781,147,0
782,180,0
783,83,0
784,193,0
785,237,0
786,221,155
787,130,0
788,253,0
789,117,4
790,92,0
791,156,0
792,90,0
793,124,0
794,132,0
795,119,0
796,295,8
797,212,0
798,215,134
799,128,0
800,92,0
801,225,0
802,292,121
803,293,0
804,164,0
805,357,0
806,94,0
807,404,111
808,0,0
809,389,15
810,125,0
811,43,0
812,155,0
813,237,0
814,196,0
815,282,0
816,190,4
817,172,22
818,419,0
819,444,0
820,0,0
821,103,0
822,130,0
823,325,0
824,84,0
825,83,0
826,117,0
827,109,0
828,29,0
829,239,14
830,217,52
831,236,0
832,461,10
833,575,297
834,287,6
835,124,0
836,139,0
837,87,0
838,145,14
839,205,10
840,108,0
841,201,15
842,0,0
843,35,0
844,2,0
845,15,0
846,22,0
847,169,6
848,282,0
849,116,0
850,142,15
851,151,0
852,213,51
853,145,0
854,291,59
855,156,0
856,218,0
857,8,2
858,0,0
859,52,0
860,135,35
861,144,0
862,149,0
863,166,46
864,81,0
865,96,0
866,219,0
867,176,208
868,113,10
869,17,0
870,313,0
871,184,0
872,170,0
873,118,0
874,0,0
875,15,0
876,13,883
877,0,0
878,213,0
879,242,0
880,105,0
881,249,69
882,176,0
883,53,0
884,116,0
885,2,0
886,215,0
887,248,5
888,172,0
889,129,0
890,563,0
891,175,0
892,162,0
893,234,0
894,183,0
895,150,0
896,115,15
897,127,0
898,104,0
899,151,0
900,129,0
901,122,0
902,136,0
903,111,0
904,135,0
905,0,0
906,94,0
907,169,0
908,203,0
909,176,15
910,125,0
911,145,0
912,153,0
913,209,0
914,84,0
915,0,0
916,108,0
917,0,0
918,60,0
919,113,13
920,271,0
921,239,0
922,126,0
923,52,0
924,182,0
925,100,0
926,175,4
927,165,0
928,177,50
929,150,3
930,74,0
931,155,0
932,148,4
933,11,0
934,0,0
935,257,0
936,118,0
937,116,0
938,151,0
939,164,0
940,169,0
941,110,0
942,210,0
943,202,0
944,22,0
945,58,0
946,185,5
947,225,0
948,126,0
949,120,0
950,43,5
951,93,4
952,42,0
953,282,0
954,403,0
955,192,0
956,164,0
957,137,0
958,138,3
959,208,0
960,130,0
961,196,0
962,156,4
963,303,0
964,117,0
965,51,0
966,181,0
967,116,0
968,137,0
969,141,0
970,136,3
971,68,0
972,36,0
973,139,0
974,229,0
975,124,0
976,0,0
977,141,0
978,86,0
979,45,0
980,372,7
981,102,2
982,105,0
983,127,0
984,138,0
985,224,7
986,177,0
987,131,0
988,0,0
989,0,0
990,0,0
991,0,0
992,48,0
993,360,0
994,229,0
995,207,0
996,133,0
997,137,0
998,212,0
999,0,0
1000,112,0
1001,0,0
1002,0,0
1003,0,0
1004,0,0
1005,0,0
1006,0,0
1007,0,151
1008,0,0
1009,0,0
1010,0,0
1011,139,0
1012,159,25
1013,122,0
1014,137,0
1015,128,0
1016,114,0
1017,0,0
1018,135,0
1019,167,28
1020,114,0
1021,124,0
1022,131,14
1023,138,0
1024,161,7
1025,102,16
1026,154,0
1027,141,0
1028,138,0
1029,187,0
1030,219,0
1031,179,28
1032,128,0
1033,113,0
1034,125,0
1035,38,17
1036,243,17
1037,99,0
1038,134,0
1039,48,0
1040,114,0
1041,199,0
1042,370,0
1043,0,0
1044,196,0
1045,326,0
1046,87,0
1047,295,0
1048,70,0
1049,0,0
1050,0,0
1051,139,0
1052,364,0
1053,83,0
1054,469,9
1055,125,0
1056,813,0
1057,221,0
1058,125,0
1059,445,7
1060,221,0
1061,309,0
1062,60,0
1063,275,11
1064,61,8
1065,90,0
1066,74,6
1067,392,0
1068,209,0
1069,72,6
1070,181,0
1071,162,5
1072,188,23
1073,148,0
1074,151,0
1075,95,0
1076,244,65
1077,210,17
1078,24,0
1079,0,0
1080,266,0
1081,363,0
1082,0,0
1083,0,0
1084,565,0
1085,528,0
1086,339,104
1087,141,0
1088,334,0
1089,760,0
1090,142,0
1091,82,7
1092,159,7
1093,176,0
1094,525,0
1095,111,6
1096,193,22
1097,83,0
1098,88,0
1099,23,0
1100,220,0
1101,115,0
1102,83,0
1103,217,7
1104,254,6
1105,141,0
1106,547,7
1107,323,9
1108,398,0
1109,437,0
1110,150,4
1111,84,0
1112,90,5
1113,379,0
1114,177,5
1115,382,0
1116,166,0
1117,41,0
1118,77,0
1119,95,0
1120,182,0
1121,124,12
1122,199,0
1123,180,0
1124,137,0
1125,96,0
1126,0,0
1127,186,0
1128,0,0
1129,297,0
1130,537,0
1131,221,0
1132,201,0
1133,0,0
1134,216,0
1135,289,0
1136,128,0
1137,108,0
1138,201,0
1139,159,0
1140,207,0
1141,244,0
1142,169,0
1143,168,7
1144,203,0
1145,202,0
1146,41,6
1147,88,0
1148,0,0
1149,291,0
1150,214,12
1151,588,0
1152,447,0
1153,174,0
1154,158,0
1155,61,0
1156,94,0
1157,155,0
1158,231,0
1159,96,0
1160,192,0
1161,113,0
1162,83,0
1163,93,0
1164,147,6
1165,226,0
1166,0,0
1167,0,0
1168,205,0
1169,96,0
1170,185,9
1171,181,0
1172,141,0
1173,367,0
1174,316,0
1175,52,0
1176,178,38
1177,278,0
1178,206,0
1179,351,0
1180,200,0
1181,126,6
1182,97,0
1183,181,0
1184,145,0
1185,79,0
1186,169,0
1187,108,0
1188,355,26
1189,91,0
1190,454,0
1191,714,0
1192,825,0
1193,75,0
1194,0,0
1195,166,0
1196,243,0
1197,344,0
1198,397,0
1199,403,0
1200,210,50
1201,276,0
1202,434,0
1203,419,0
1204,300,0
1205,0,0
1206,583,0
1207,18,0
1208,663,0
1209,173,0
1210,482,0
1211,0,0
1212,217,0
1213,764,192
1214,710,0
1215,155,0
1216,0,0
1217,553,0
1218,287,0
1219,395,0
1220,116,20
1221,585,0
1222,0,0
1223,0,0
1224,1,0
1225,10,0
1226,334,0
1227,311,2
1228,81,0
1229,329,0
1230,257,17
1231,333,0
1232,345,0
1233,238,0
1234,201,0
1235,0,0
1236,33,0
1237,150,0
1238,203,0
1239,187,0
1240,334,0
1241,215,0
1242,230,0
1243,297,0
1244,81,0
1245,125,0
1246,35,0
1247,154,0
1248,72,0
1249,102,0
1250,149,0
1251,225,27
1252,124,9
1253,159,0
1254,129,14
1255,216,8
1256,96,0
1257,186,0
1258,160,0
1259,98,0
1260,136,0
1261,90,0
1262,25,0
1263,153,0
1264,123,0
1265,211,0
1266,271,0
1267,300,0
1268,185,0
1269,164,0
1270,157,36
1271,184,0
1272,96,0
1273,126,5
1274,301,0
1275,308,0
1276,404,0
1277,666,0
1278,149,19
1279,546,0
1280,52,7
1281,176,0
1282,68,0
1283,124,0
1284,259,0
1285,146,0
1286,0,0
1287,81,5
1288,227,8
1289,204,0
1290,149,0
1291,112,0
1292,0,0
1293,348,41
1294,441,0
1295,122,0
1296,392,0
1297,401,0
1298,627,0
1299,0,0
1300,223,0
1301,320,0
1302,311,0
1303,70,0
1304,246,77
1305,129,0
1306,120,0
1307,96,0
1308,67,0
1309,140,0
1310,149,25
1311,75,0
1312,180,0
1313,67,0
1314,256,0
1315,216,10
1316,119,0
1317,152,0
1318,179,0
1319,106,0
1320,345,22
1321,125,12
1322,365,0
1323,116,0
1324,65,0
1325,151,24
1326,76,11
1327,94,0
1328,32,0
1329,103,10
1330,241,0
1331,199,0
1332,0,0
1333,156,18
1334,321,0
1335,316,61
1336,356,0
1337,126,0
1338,187,0
1339,63,0
1340,168,0
1341,312,55
1342,363,0
1343,311,0
1344,200,39
1345,33,0
1346,187,0
1347,717,294
1348,1,0
1349,0,0
1350,174,0
1351,356,48
1352,184,0
1353,172,0
1354,206,18
1355,144,39
1356,93,0
1357,429,116
1358,167,6
1359,360,21
1360,263,0
1361,203,0
1362,154,0
1363,182,0
1364,301,0
1365,107,0
1366,253,0
1367,129,0
1368,201,0
1369,432,0
1370,125,0
1371,156,33
1372,87,0
1373,151,0
1374,190,19
1375,129,21
1376,177,0
1377,86,0
1378,155,0
1379,141,0
1380,101,0
1381,242,0
1382,115,18
1383,174,36
1384,98,0
1385,113,0
1386,221,0
1387,26,0
1388,232,19
1389,277,28
1390,185,0
1391,164,0
1392,174,0
1393,29,0
1394,0,0
1395,64,0
1396,1,0
1397,161,0
1398,186,0
1399,38,0
1400,185,0
1401,156,0
1402,0,0
1403,220,0
