MAZ2010,TOTAL_HOUSEHOLDS,TOTAL_GQ
528,46,0
529,141,0
530,89,0
531,155,0
532,82,0
533,102,0
534,195,0
535,143,0
536,0,0
537,150,29
538,212,6
539,111,0
540,0,0
541,108,0
542,0,0
543,292,0
544,82,0
545,715,0
546,147,0
547,103,0
548,49,165
549,141,0
550,145,4
551,148,0
552,91,0
553,85,7
554,90,0
555,192,4
556,180,0
557,189,0
558,257,0
559,167,4
560,160,3
561,338,0
562,219,3
563,218,7
564,190,0
565,106,0
566,151,6
567,138,0
568,119,0
569,131,0
570,202,0
571,104,8
572,97,0
573,79,0
574,231,0
575,166,6
576,343,0
577,230,0
578,141,0
579,101,0
580,116,0
581,209,0
582,136,0
583,152,6
584,169,0
585,173,0
586,141,0
587,121,0
588,24,0
589,124,0
590,139,8
591,135,0
592,57,0
593,112,0
594,146,0
595,152,0
596,83,0
597,203,7
598,107,0
599,151,0
600,56,0
601,124,0
602,147,696
603,12,6
604,26,6
605,327,0
606,0,0
607,0,0
608,0,0
609,0,0
610,0,0
611,0,0
612,455,0
613,211,0
614,149,0
615,619,0
616,205,0
617,531,0
618,121,0
619,309,0
620,166,0
621,92,0
622,237,0
623,207,0
624,347,0
625,246,0
626,117,0
627,124,0
628,297,0
629,459,0
630,266,0
631,151,0
632,185,0
633,228,0
634,0,0
635,53,0
636,0,0
637,0,0
638,0,0
639,0,0
640,0,0
641,1,0
642,0,0
643,0,254
644,0,0
645,107,0
646,68,3
647,142,0
648,137,0
649,120,0
650,152,8
651,113,2
652,79,0
653,72,0
654,146,0
655,109,0
656,102,0
657,162,0
658,120,8
659,113,0
660,98,0
661,135,0
662,61,0
663,0,2
664,0,0
665,0,0
666,0,0
667,1117,0
668,0,0
669,0,0
670,407,106
671,0,0
672,0,0
673,116,0
674,156,0
675,236,10
676,162,0
677,92,0
678,113,0
679,138,6
680,18,6
681,139,0
682,84,6
683,156,0
684,153,0
685,85,0
686,136,14
687,0,0
688,141,0
689,314,0
690,173,0
691,83,0
692,0,0
693,123,0
694,173,0
695,98,0
696,228,0
697,113,0
698,109,0
699,95,0
700,110,0
701,90,0
702,428,0
703,12,0
704,0,0
705,0,0
706,337,0
707,220,0
708,163,0
709,225,0
710,70,0
711,46,0
712,6,0
713,7,0
714,0,0
715,0,0
716,0,0
717,0,176
718,235,0
719,177,0
720,0,0
721,216,0
722,253,0
723,118,0
724,526,0
725,713,0
726,0,0
727,136,0
728,0,0
729,358,0
730,261,0
731,217,0
732,234,0
733,94,0
734,255,0
735,323,0
736,147,0
737,344,0
738,77,0
739,496,0
740,441,0
741,0,0
742,427,0
743,238,0
744,396,0
745,138,0
746,86,0
747,290,11
748,200,0
749,101,13
750,562,0
751,208,0
752,0,4
753,55,254
754,107,465
755,0,0
756,153,172
757,417,0
758,364,0
759,0,0
760,0,0
761,0,0
762,579,0
763,319,0
764,251,0
765,190,0
766,158,0
767,70,0
768,270,0
769,450,0
770,893,165
771,194,0
772,283,6
773,166,0
774,269,0
775,159,0
776,161,0
777,55,0
778,100,4
779,159,0
780,115,0
781,146,0
782,178,0
783,82,0
784,192,0
